subject,task,session,file,condition,component,tmin,tmax,roi,mean_amp_uV
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-7.03940424460288
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-8.17197659309459
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-6.863958865541691
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-7.111353170766251
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-6.128563340705425
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-7.076104793844169
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-9.560409123274665
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-7.851569086129957
sub18,task2,4,clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-4.912476531417149
sub18,task2,4,clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-5.439281695220909
sub18,task2,4,clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-5.519352557148514
sub18,task2,4,clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-4.7994633956123725
sub18,task2,4,clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-5.58401238187842
sub18,task2,4,clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-4.7378169828666845
