subject,task,session,file,condition,component,tmin,tmax,roi,mean_amp_uV
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess1-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-8.15946056180738
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess1-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-8.031980941224107
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess1-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-9.860988971594281
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess1-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-8.08236661873235
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess1-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-9.80672873833827
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess1-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-8.1120571610439
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess1-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-9.969509438106298
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess1-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-7.256969542471232
sub18,task2,4,clean_epochs_task2_ICA_sub18_clr1_sess2-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-5.373895897097006
sub18,task2,4,clean_epochs_task2_ICA_sub18_clr1_sess2-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-6.0603573428778486
sub18,task2,4,clean_epochs_task2_ICA_sub18_clr1_sess2-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-4.885732810874417
sub18,task2,4,clean_epochs_task2_ICA_sub18_clr1_sess2-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-5.532256622642341
sub18,task2,4,clean_epochs_task2_ICA_sub18_clr1_sess2-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-5.099975365677895
sub18,task2,4,clean_epochs_task2_ICA_sub18_clr1_sess2-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-5.428680003380829
sub18,task2,4,clean_epochs_task2_ICA_sub18_clr1_sess2-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",0.041845949605541936
sub18,task2,4,clean_epochs_task2_ICA_sub18_clr1_sess2-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-6.615103096739976
sub19,task2,3,clean_epochs_task2_ICA_sub19_llx1_sess1-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-5.719988687141029
sub19,task2,3,clean_epochs_task2_ICA_sub19_llx1_sess1-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-6.3295860308392715
sub19,task2,3,clean_epochs_task2_ICA_sub19_llx1_sess1-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-6.820426849197498
sub19,task2,3,clean_epochs_task2_ICA_sub19_llx1_sess1-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-5.5566386596382555
sub19,task2,3,clean_epochs_task2_ICA_sub19_llx1_sess1-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-6.71337177704892
sub19,task2,3,clean_epochs_task2_ICA_sub19_llx1_sess1-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-5.525025650803967
sub19,task2,3,clean_epochs_task2_ICA_sub19_llx1_sess1-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-7.070222017544184
sub19,task2,3,clean_epochs_task2_ICA_sub19_llx1_sess1-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-5.816838040043564
sub19,task2,4,clean_epochs_task2_ICA_sub19_llx1_sess2-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-7.459335542836282
sub19,task2,4,clean_epochs_task2_ICA_sub19_llx1_sess2-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-7.856335918252808
sub19,task2,4,clean_epochs_task2_ICA_sub19_llx1_sess2-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-7.755997903038636
sub19,task2,4,clean_epochs_task2_ICA_sub19_llx1_sess2-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-7.4683535120005375
sub19,task2,4,clean_epochs_task2_ICA_sub19_llx1_sess2-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-8.249494715387739
sub19,task2,4,clean_epochs_task2_ICA_sub19_llx1_sess2-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-7.382246843075164
sub19,task2,4,clean_epochs_task2_ICA_sub19_llx1_sess2-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-6.275507465991333
sub19,task2,4,clean_epochs_task2_ICA_sub19_llx1_sess2-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-8.43118262816607
sub20,task2,3,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-0.47267556995645377
sub20,task2,3,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-0.33935122366161163
sub20,task2,3,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-1.0864952453868841
sub20,task2,3,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-0.36939988536633195
sub20,task2,3,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-0.8588777411316535
sub20,task2,3,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-0.42118194713309387
sub20,task2,3,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-2.3004552680814463
